date,tmax,tmin
2011-01-01,23.0,3.0
2011-01-02,23.0,10.0
2011-01-03,23.0,12.0
2011-01-04,26.0,15.0
2011-01-05,24.0,8.0
2011-01-06,23.0,5.0
2011-01-07,24.0,10.0
2011-01-08,26.0,6.0
2011-01-09,21.0,3.0
2011-01-10,23.0,10.0
2011-01-11,23.0,3.0
2011-01-12,24.0,10.0
2011-01-13,28.0,8.0
2011-01-14,24.0,6.0
2011-01-15,24.0,6.0
2011-01-16,23.0,6.0
2011-01-17,26.0,6.0
2011-01-18,23.0,1.0
2011-01-19,24.0,3.0
2011-01-20,26.0,5.0
2011-01-21,28.0,5.0
2011-01-22,26.0,5.0
2011-01-23,24.0,3.0
2011-01-24,26.0,6.0
2011-01-25,26.0,5.0
2011-01-26,26.0,6.0
2011-01-27,28.0,14.0
2011-01-28,26.0,6.0
2011-01-29,21.0,3.0
2011-01-30,30.0,8.0
2011-01-31,28.0,8.0
2011-02-01,24.0,3.0
2011-02-02,26.0,10.0
2011-02-03,24.0,5.0
2011-02-04,23.0,12.0
2011-02-05,28.0,12.0
2011-02-06,24.0,3.0
2011-02-07,30.0,14.0
2011-02-08,28.0,17.0
2011-02-09,24.0,14.0
2011-02-10,28.0,19.0
2011-02-11,24.0,14.0
2011-02-12,21.0,10.0
2011-02-13,33.0,14.0
2011-02-14,35.0,17.0
2011-02-15,37.0,19.0
2011-02-16,41.0,17.0
2011-02-17,44.0,23.0
2011-02-18,50.0,24.0
2011-02-19,44.0,17.0
2011-02-20,44.0,15.0
2011-02-21,48.0,21.0
2011-02-22,42.0,23.0
2011-02-23,41.0,28.0
2011-02-24,44.0,24.0
2011-02-25,39.0,24.0
2011-02-26,32.0,17.0
2011-02-27,35.0,17.0
2011-02-28,39.0,19.0
2011-03-01,37.0,19.0
2011-03-02,37.0,19.0
2011-03-03,46.0,15.0
2011-03-04,46.0,24.0
2011-03-05,50.0,26.0
2011-03-06,42.0,24.0
2011-03-07,44.0,24.0
2011-03-08,44.0,24.0
2011-03-09,46.0,23.0
2011-03-10,53.0,26.0
2011-03-11,57.0,30.0
2011-03-12,60.0,39.0
2011-03-13,60.0,28.0
2011-03-14,42.0,26.0
2011-03-15,42.0,21.0
2011-03-16,50.0,23.0
2011-03-17,55.0,33.0
2011-03-18,55.0,24.0
