DATE,TMAX,TMIN
2011/1/1,32,8
2011/1/2,24,14
2011/1/3,26,14
2011/1/4,24,10
2011/1/5,28,12
2011/1/6,30,8
2011/1/7,30,14
2011/1/8,33,12
2011/1/9,26,8
2011/1/10,26,12
2011/1/11,26,5
2011/1/12,28,12
2011/1/13,32,10
2011/1/14,30,8
2011/1/15,24,8
2011/1/16,26,8
2011/1/17,30,8
2011/1/18,26,5
2011/1/19,28,10
2011/1/20,30,8
2011/1/21,32,10
2011/1/22,30,6
2011/1/23,28,5
2011/1/24,30,8
2011/1/25,30,6
2011/1/26,30,10
2011/1/27,30,10
2011/1/28,30,8
2011/1/29,28,6
2011/1/30,35,12
2011/1/31,44,12
2011/2/1,42,17
2011/2/2,41,15
2011/2/3,41,17
2011/2/4,44,17
2011/2/5,37,21
2011/2/6,46,21
2011/2/7,39,21
2011/2/8,44,19
2011/2/9,35,24
2011/2/10,28,19
2011/2/11,32,5
2011/2/12,24,14
2011/2/13,28,6
2011/2/14,32,12
2011/2/15,33,15
2011/2/16,28,17
2011/2/17,41,12
2011/2/18,46,19
2011/2/19,50,19
2011/2/20,46,19
2011/2/21,42,23
2011/2/22,46,24
2011/2/23,48,32
2011/2/24,48,26
2011/2/25,41,26
2011/2/26,35,21
2011/2/27,35,19
2011/2/28,41,21
2011/3/1,39,23
2011/3/2,39,23
2011/3/3,46,17
2011/3/4,50,26
2011/3/5,55,30
2011/3/6,50,28
2011/3/7,50,28
2011/3/8,50,28
2011/3/9,50,26
2011/3/10,55,28
2011/3/11,60,32
2011/3/12,64,41
2011/3/13,62,32
2011/3/14,48,28
2011/3/15,46,26
2011/3/16,53,26
2011/3/17,59,35
2011/3/18,57,28
2011/3/19,53,33
2011/3/20,50,32
2011/3/21,44,26
2011/3/22,48,26
2011/3/23,50,30
2011/3/24,51,24
2011/3/25,51,26
2011/3/26,59,26
2011/3/27,60,30
2011/3/28,62,33
2011/3/29,64,33
2011/3/30,71,41
2011/3/31,71,42
2011/4/1,46,35
2011/4/2,53,30
2011/4/3,60,33
2011/4/4,68,37
2011/4/5,64,44
2011/4/6,66,41
2011/4/7,64,35
2011/4/8,66,42
2011/4/9,68,50
2011/4/10,59,35
2011/4/11,69,39
2011/4/12,78,42
2011/4/13,77,50
2011/4/14,82,55
2011/4/15,75,39
2011/4/16,75,51
2011/4/17,64,44
2011/4/18,68,42
2011/4/19,73,48
2011/4/20,75,53
2011/4/21,60,39
2011/4/22,66,42
