date,tmax,tmin
1981-03-10,55.0,27.0
1982-03-10,65.0,38.0
1983-03-10,63.0,25.0
1984-03-10,46.0,22.0
1985-03-10,38.0,20.0
1986-03-10,43.0,26.0
1987-03-10,47.0,29.0
1988-03-10,53.0,29.0
1989-03-10,60.0,36.0
1990-03-10,56.0,39.0
1991-03-10,42.0,31.0
1992-03-10,52.0,31.0
1993-03-10,53.0,35.0
1994-03-10,43.0,21.0
1995-03-10,60.0,32.0
1996-03-10,57.0,31.0
1997-03-10,66.0,32.0
1998-03-10,53.0,39.0
1999-03-10,43.0,30.0
2000-03-10,54.0,27.0
2001-03-10,49.0,26.0
2002-03-10,64.0,35.0
2003-03-10,45.0,31.0
2004-03-10,62.0,47.0
2005-03-10,44.0,31.0
2006-03-10,57.0,44.0
2007-03-10,44.0,31.0
2008-03-10,72.0,38.0
2009-03-10,50.0,30.0
2010-03-10,48.0,20.0
2011-03-10,62.0,31.0
2012-03-10,44.0,29.0
