STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/1,69,59
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/2,80,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/3,83,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/4,87,60
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/5,88,69
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/6,78,68
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/7,87,66
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/8,87,63
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/9,76,66
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/10,87,62
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/11,89,67
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/12,88,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/13,84,67
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/14,90,68
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/15,82,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/16,86,63
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/17,88,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/18,91,67
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/19,90,69
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/20,95,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/21,83,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/22,83,64
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/23,90,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/24,88,72
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/25,87,71
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/26,93,68
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/27,94,74
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/28,85,71
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/29,82,72
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/6/30,88,69
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/1,81,72
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/2,85,71
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/3,85,73
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/4,88,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/5,91,64
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/6,89,67
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/7,92,65
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/8,92,70
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/9,95,72
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/10,93,75
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/7/11,90,72
