date,tmax,tmin
1980-07-18,89.0,75.0
1981-07-18,93.0,78.0
1982-07-18,87.0,69.0
1983-07-18,94.0,72.0
1984-07-18,93.0,71.0
1985-07-18,86.0,66.0
1986-07-18,84.0,71.0
1987-07-18,91.0,73.0
1988-07-18,92.0,76.0
1989-07-18,84.0,69.0
1990-07-18,79.0,68.0
1991-07-18,78.0,69.0
1992-07-18,99.0,74.0
1993-07-18,89.0,70.0
1994-07-18,86.0,71.0
1995-07-18,74.0,63.0
1996-07-18,88.0,72.0
1997-07-18,92.0,71.0
1998-07-18,86.0,67.0
1999-07-18,96.0,76.0
2000-07-18,94.0,78.0
2001-07-18,93.0,77.0
2002-07-18,84.0,70.0
2003-07-18,87.0,69.0
2004-07-18,87.0,75.0
2005-07-18,89.0,76.0
2006-07-18,78.0,69.0
2007-07-18,89.0,77.0
2008-07-18,86.0,71.0
2009-07-18,89.0,72.0
2010-07-18,94.0,77.0
2011-07-18,85.0,73.0
2012-07-18,89.0,73.0
2013-07-18,82.0,71.0
2014-07-18,95.0,77.0
2015-07-18,78.0,69.0
2016-07-18,91.0,73.0
2017-07-18,87.0,77.0
2018-07-18,89.0,77.0
2019-07-18,87.0,75.0
2020-07-18,78.0,68.0
