DATE,TMAX,TMIN
2011/1/1,32,14
2011/1/2,28,19
2011/1/3,26,15
2011/1/4,26,14
2011/1/5,30,14
2011/1/6,30,10
2011/1/7,32,17
2011/1/8,33,15
2011/1/9,28,12
2011/1/10,30,17
2011/1/11,30,10
2011/1/12,33,17
2011/1/13,33,17
2011/1/14,30,12
2011/1/15,28,14
2011/1/16,28,14
2011/1/17,30,14
2011/1/18,28,12
2011/1/19,32,14
2011/1/20,32,15
2011/1/21,33,15
2011/1/22,32,14
2011/1/23,30,12
2011/1/24,32,15
2011/1/25,32,14
2011/1/26,32,15
2011/1/27,32,14
2011/1/28,33,15
2011/1/29,30,14
2011/1/30,37,17
2011/1/31,42,19
2011/2/1,44,21
2011/2/2,41,21
2011/2/3,42,23
2011/2/4,48,24
2011/2/5,39,24
2011/2/6,48,26
2011/2/7,41,24
2011/2/8,44,24
2011/2/9,35,26
2011/2/10,28,21
2011/2/11,33,10
2011/2/12,26,19
2011/2/13,28,12
2011/2/14,33,14
2011/2/15,35,21
2011/2/16,30,21
2011/2/17,42,19
2011/2/18,48,26
2011/2/19,50,26
2011/2/20,50,23
2011/2/21,50,28
2011/2/22,48,30
2011/2/23,46,35
2011/2/24,48,30
2011/2/25,42,28
2011/2/26,35,26
2011/2/27,35,23
2011/2/28,42,24
2011/3/1,41,26
2011/3/2,41,26
2011/3/3,48,21
2011/3/4,51,30
2011/3/5,55,33
2011/3/6,50,32
2011/3/7,50,32
2011/3/8,50,32
2011/3/9,51,30
2011/3/10,59,32
2011/3/11,62,35
2011/3/12,66,44
2011/3/13,64,35
2011/3/14,48,33
2011/3/15,46,28
2011/3/16,55,30
2011/3/17,60,41
2011/3/18,57,32
2011/3/19,55,37
2011/3/20,51,37
2011/3/21,46,30
2011/3/22,50,30
2011/3/23,51,33
2011/3/24,51,30
2011/3/25,53,33
2011/3/26,59,33
2011/3/27,60,35
2011/3/28,62,37
2011/3/29,66,39
2011/3/30,71,42
2011/3/31,73,44
2011/4/1,50,39
2011/4/2,55,33
2011/4/3,60,37
2011/4/4,68,41
2011/4/5,66,46
2011/4/6,66,44
2011/4/7,66,39
2011/4/8,68,44
2011/4/9,69,51
2011/4/10,60,37
2011/4/11,71,42
2011/4/12,78,46
2011/4/13,78,51
2011/4/14,82,57
2011/4/15,77,42
2011/4/16,77,55
2011/4/17,64,48
2011/4/18,69,46
2011/4/19,75,50
2011/4/20,77,57
2011/4/21,62,42
2011/4/22,68,44
2011/4/23,64,46
2011/4/24,71,50
2011/4/25,64,48
2011/4/26,60,46
2011/4/27,71,46
2011/4/28,75,51
2011/4/29,71,53
2011/4/30,68,55
2011/5/1,77,55
2011/5/2,77,51
2011/5/3,75,57
2011/5/4,66,55
2011/5/5,73,55
2011/5/6,78,53
2011/5/7,78,59
2011/5/8,66,53
2011/5/9,78,60
2011/5/10,78,55
2011/5/11,82,53
2011/5/12,73,55
2011/5/13,80,59
2011/5/14,86,59
2011/5/15,80,55
2011/5/16,82,57
2011/5/17,84,62
2011/5/18,86,60
2011/5/19,77,60
2011/5/20,73,55
2011/5/21,78,50
2011/5/22,84,59
2011/5/23,87,60
2011/5/24,82,64
2011/5/25,80,64
2011/5/26,80,60
2011/5/27,84,64
2011/5/28,91,69
2011/5/29,82,62
2011/5/30,84,66
2011/5/31,84,62
2011/6/1,89,64
2011/6/2,95,71
2011/6/3,91,66
2011/6/4,87,68
2011/6/5,91,69
2011/6/6,89,66
2011/6/7,96,69
2011/6/8,93,69
2011/6/9,91,71
2011/6/10,87,64
2011/6/11,82,62
2011/6/12,95,68
2011/6/13,95,69
2011/6/14,91,71
2011/6/15,87,66
2011/6/16,80,64
2011/6/17,82,66
2011/6/18,91,69
2011/6/19,93,71
2011/6/20,91,73
2011/6/21,93,75
2011/6/22,89,69
2011/6/23,82,66
2011/6/24,78,62
2011/6/25,86,64
2011/6/26,87,68
2011/6/27,89,71
2011/6/28,89,71
2011/6/29,89,73
2011/6/30,87,75
2011/7/1,84,75
2011/7/2,82,73
2011/7/3,91,71
2011/7/4,95,75
2011/7/5,95,73
2011/7/6,89,69
2011/7/7,91,66
2011/7/8,91,71
2011/7/9,95,71
2011/7/10,93,71
2011/7/11,91,71
2011/7/12,89,73
2011/7/13,87,75
2011/7/14,89,73
2011/7/15,89,71
2011/7/16,87,71
2011/7/17,86,66
2011/7/18,82,69
2011/7/19,84,69
2011/7/20,84,69
2011/7/21,84,71
2011/7/22,87,75
2011/7/23,93,78
2011/7/24,87,71
2011/7/25,86,71
2011/7/26,95,77
2011/7/27,89,75
2011/7/28,87,78
2011/7/29,86,73
2011/7/30,91,73
2011/7/31,93,75
2011/8/1,95,77
2011/8/2,89,75
2011/8/3,93,71
2011/8/4,91,73
2011/8/5,86,73
