DATE,TMAX,TMIN
2011/1/1,32,15
2011/1/2,30,19
2011/1/3,26,19
2011/1/4,32,14
2011/1/5,30,17
2011/1/6,30,14
2011/1/7,32,19
2011/1/8,33,17
2011/1/9,28,14
2011/1/10,32,19
2011/1/11,32,12
2011/1/12,33,17
2011/1/13,35,21
2011/1/14,30,15
2011/1/15,30,15
2011/1/16,28,14
2011/1/17,30,15
2011/1/18,30,15
2011/1/19,32,15
2011/1/20,32,19
2011/1/21,33,19
2011/1/22,32,15
2011/1/23,30,14
2011/1/24,32,15
2011/1/25,32,14
2011/1/26,32,17
2011/1/27,33,17
2011/1/28,28,15
2011/1/29,30,15
2011/1/30,37,21
2011/1/31,41,24
2011/2/1,24,3
2011/2/2,26,10
2011/2/3,24,5
2011/2/4,23,12
2011/2/5,28,12
2011/2/6,24,3
2011/2/7,30,14
2011/2/8,28,17
2011/2/9,24,14
2011/2/10,28,19
2011/2/11,33,14
2011/2/12,26,21
2011/2/13,33,14
2011/2/14,35,17
2011/2/15,37,19
2011/2/16,41,17
2011/2/17,44,23
2011/2/18,50,24
2011/2/19,50,28
2011/2/20,50,28
2011/2/21,51,32
2011/2/22,48,32
2011/2/23,48,37
2011/2/24,51,32
2011/2/25,42,30
2011/2/26,35,26
2011/2/27,35,24
2011/2/28,42,26
2011/3/1,42,28
2011/3/2,42,30
2011/3/3,48,24
2011/3/4,51,32
2011/3/5,57,35
2011/3/6,50,32
2011/3/7,50,32
2011/3/8,50,32
2011/3/9,51,32
2011/3/10,59,37
2011/3/11,64,39
2011/3/12,66,46
2011/3/13,64,37
2011/3/14,48,33
2011/3/15,48,30
2011/3/16,55,32
2011/3/17,60,42
2011/3/18,57,33
2011/3/19,55,39
2011/3/20,51,37
2011/3/21,46,30
2011/3/22,50,32
2011/3/23,51,33
2011/3/24,53,32
2011/3/25,55,35
2011/3/26,60,35
2011/3/27,62,37
2011/3/28,62,39
2011/3/29,66,39
2011/3/30,73,44
2011/3/31,73,46
2011/4/1,50,39
2011/4/2,55,35
2011/4/3,60,41
2011/4/4,69,44
2011/4/5,66,48
2011/4/6,66,46
2011/4/7,66,41
2011/4/8,68,46
2011/4/9,69,53
2011/4/10,60,39
2011/4/11,71,46
2011/4/12,78,50
2011/4/13,78,53
2011/4/14,82,60
2011/4/15,77,48
2011/4/16,77,57
2011/4/17,64,50
2011/4/18,69,46
