DATE,TMAX,TMIN
2011/1/1,23,3
2011/1/2,23,10
2011/1/3,23,12
2011/1/4,26,15
2011/1/5,24,8
2011/1/6,23,5
2011/1/7,24,10
2011/1/8,26,6
2011/1/9,21,3
2011/1/10,23,10
2011/1/11,23,3
2011/1/12,24,10
2011/1/13,28,8
2011/1/14,24,6
2011/1/15,24,6
2011/1/16,23,6
2011/1/17,26,6
2011/1/18,23,1
2011/1/19,24,3
2011/1/20,26,5
2011/1/21,28,5
2011/1/22,26,5
2011/1/23,24,3
2011/1/24,26,6
2011/1/25,26,5
2011/1/26,26,6
2011/1/27,28,14
2011/1/28,26,6
2011/1/29,21,3
2011/1/30,30,8
2011/1/31,28,8
2011/2/1,24,3
2011/2/2,26,10
2011/2/3,24,5
2011/2/4,23,12
2011/2/5,28,12
2011/2/6,24,3
2011/2/7,30,14
2011/2/8,28,17
2011/2/9,24,14
2011/2/10,28,19
2011/2/11,24,14
2011/2/12,21,10
2011/2/13,33,14
2011/2/14,35,17
2011/2/15,37,19
2011/2/16,41,17
2011/2/17,44,23
2011/2/18,50,24
2011/2/19,44,17
2011/2/20,44,15
2011/2/21,48,21
2011/2/22,42,23
2011/2/23,41,28
2011/2/24,44,24
2011/2/25,39,24
2011/2/26,32,17
2011/2/27,35,17
2011/2/28,39,19
2011/3/1,37,19
2011/3/2,37,19
2011/3/3,46,15
2011/3/4,46,24
2011/3/5,50,26
2011/3/6,42,24
2011/3/7,44,24
2011/3/8,44,24
2011/3/9,46,23
2011/3/10,53,26
2011/3/11,57,30
2011/3/12,60,39
2011/3/13,60,28
2011/3/14,42,26
2011/3/15,42,21
2011/3/16,50,23
2011/3/17,55,33
2011/3/18,55,24
2011/3/19,50,30
2011/3/20,46,28
2011/3/21,41,21
2011/3/22,44,21
2011/3/23,46,24
2011/3/24,48,23
2011/3/25,48,24
2011/3/26,53,24
2011/3/27,55,28
2011/3/28,57,32
2011/3/29,62,32
2011/3/30,69,35
2011/3/31,68,39
2011/4/1,42,30
2011/4/2,50,24
2011/4/3,57,30
2011/4/4,62,32
2011/4/5,60,42
2011/4/6,62,41
2011/4/7,62,32
2011/4/8,60,41
2011/4/9,62,48
2011/4/10,57,32
2011/4/11,68,37
2011/4/12,75,39
2011/4/13,75,46
2011/4/14,78,51
2011/4/15,71,35
2011/4/16,73,50
2011/4/17,60,37
2011/4/18,64,37
2011/4/19,69,44
2011/4/20,71,50
2011/4/21,57,37
2011/4/22,64,41
2011/4/23,60,42
2011/4/24,66,44
2011/4/25,60,44
2011/4/26,57,39
2011/4/27,68,39
2011/4/28,71,50
2011/4/29,68,48
2011/4/30,64,48
2011/5/1,71,50
2011/5/2,71,46
2011/5/3,71,50
2011/5/4,60,50
2011/5/5,68,48
2011/5/6,73,46
2011/5/7,75,51
2011/5/8,60,50
2011/5/9,73,55
2011/5/10,71,50
2011/5/11,78,48
2011/5/12,68,48
2011/5/13,73,53
2011/5/14,80,51
2011/5/15,75,48
2011/5/16,78,50
2011/5/17,80,57
2011/5/18,80,55
2011/5/19,71,53
2011/5/20,71,48
2011/5/21,73,44
2011/5/22,80,51
2011/5/23,82,53
2011/5/24,82,57
2011/5/25,77,57
2011/5/26,75,53
2011/5/27,82,57
2011/5/28,86,62
2011/5/29,77,57
2011/5/30,80,59
2011/5/31,78,59
2011/6/1,86,55
2011/6/2,91,64
2011/6/3,86,60
2011/6/4,82,62
2011/6/5,86,64
2011/6/6,87,60
2011/6/7,93,62
2011/6/8,87,62
2011/6/9,86,64
2011/6/10,82,59
2011/6/11,78,57
2011/6/12,91,60
2011/6/13,89,62
2011/6/14,87,66
2011/6/15,82,60
2011/6/16,77,60
2011/6/17,77,60
2011/6/18,87,64
2011/6/19,89,66
2011/6/20,87,69
2011/6/21,87,69
2011/6/22,86,62
2011/6/23,77,59
2011/6/24,73,57
2011/6/25,82,59
2011/6/26,84,62
2011/6/27,84,64
2011/6/28,84,64
2011/6/29,84,66
2011/6/30,82,68
2011/7/1,78,71
2011/7/2,80,68
2011/7/3,87,64
2011/7/4,91,68
2011/7/5,91,69
2011/7/6,84,62
2011/7/7,86,62
2011/7/8,87,66
2011/7/9,91,64
2011/7/10,89,64
2011/7/11,87,66
2011/7/12,86,68
2011/7/13,86,68
2011/7/14,86,68
2011/7/15,86,66
2011/7/16,84,68
2011/7/17,86,64
2011/7/18,80,66
2011/7/19,80,64
2011/7/20,80,66
2011/7/21,82,68
2011/7/22,86,69
2011/7/23,91,73
2011/7/24,84,69
2011/7/25,82,66
2011/7/26,91,71
2011/7/27,86,71
2011/7/28,86,75
2011/7/29,82,69
2011/7/30,86,69
2011/7/31,91,71
2011/8/1,91,68
2011/8/2,86,68
2011/8/3,89,68
2011/8/4,87,68
2011/8/5,82,71
2011/8/6,84,69
2011/8/7,86,69
2011/8/8,89,68
2011/8/9,89,71
2011/8/10,87,68
2011/8/11,87,69
2011/8/12,87,69
2011/8/13,87,68
2011/8/14,86,66
2011/8/15,78,66
2011/8/16,86,68
2011/8/17,84,66
2011/8/18,82,62
2011/8/19,84,62
2011/8/20,84,64
2011/8/21,86,62
2011/8/22,84,60
2011/8/23,84,62
2011/8/24,80,62
2011/8/25,78,64
2011/8/26,77,62
2011/8/27,78,64
2011/8/28,82,62
2011/8/29,84,62
2011/8/30,80,69
2011/8/31,84,62
2011/9/1,78,60
2011/9/2,82,62
2011/9/3,77,60
2011/9/4,78,60
2011/9/5,82,60
2011/9/6,82,60
2011/9/7,77,59
2011/9/8,71,55
2011/9/9,69,53
2011/9/10,62,50
2011/9/11,73,55
2011/9/12,71,53
2011/9/13,71,59
2011/9/14,71,60
2011/9/15,71,59
2011/9/16,68,53
2011/9/17,64,46
2011/9/18,66,41
2011/9/19,66,41
2011/9/20,71,42
2011/9/21,75,42
2011/9/22,77,44
2011/9/23,77,44
2011/9/24,77,50
2011/9/25,78,51
2011/9/26,78,55
2011/9/27,71,57
2011/9/28,66,55
2011/9/29,68,44
2011/9/30,66,42
2011/10/1,66,41
2011/10/2,64,37
2011/10/3,68,39
2011/10/4,64,44
2011/10/5,75,42
2011/10/6,71,41
2011/10/7,71,44
2011/10/8,69,51
2011/10/9,71,50
2011/10/10,69,50
2011/10/11,66,46
2011/10/12,64,51
2011/10/13,64,44
2011/10/14,60,44
2011/10/15,62,41
2011/10/16,62,37
2011/10/17,59,39
2011/10/18,64,39
2011/10/19,60,46
2011/10/20,64,48
2011/10/21,59,46
2011/10/22,64,50
2011/10/23,55,33
2011/10/24,53,28
2011/10/25,55,32
2011/10/26,50,33
2011/10/27,55,32
2011/10/28,57,32
2011/10/29,60,35
2011/10/30,59,37
2011/10/31,57,46
2011/11/1,53,41
2011/11/2,55,39
2011/11/3,50,44
2011/11/4,51,41
2011/11/5,53,41
2011/11/6,53,35
2011/11/7,53,39
2011/11/8,51,28
2011/11/9,51,28
2011/11/10,55,28
2011/11/11,51,37
2011/11/12,51,26
2011/11/13,48,23
2011/11/14,50,24
2011/11/15,50,30
2011/11/16,46,37
2011/11/17,44,28
2011/11/18,48,28
2011/11/19,44,19
2011/11/20,42,19
2011/11/21,44,26
2011/11/22,46,21
2011/11/23,41,15
2011/11/24,41,17
2011/11/25,37,24
2011/11/26,44,21
2011/11/27,37,23
2011/11/28,33,23
2011/11/29,35,19
2011/11/30,35,15
2011/12/1,35,19
2011/12/2,33,17
2011/12/3,33,17
2011/12/4,35,19
2011/12/5,32,21
2011/12/6,30,23
2011/12/7,35,14
2011/12/8,28,8
2011/12/9,28,14
2011/12/10,33,14
2011/12/11,39,15
2011/12/12,37,19
2011/12/13,35,17
2011/12/14,30,10
2011/12/15,26,6
2011/12/16,24,8
2011/12/17,30,6
2011/12/18,30,10
2011/12/19,30,12
2011/12/20,32,14
2011/12/21,33,14
2011/12/22,30,8
2011/12/23,32,14
2011/12/24,32,10
2011/12/25,33,8
2011/12/26,32,10
2011/12/27,32,14
2011/12/28,35,10
2011/12/29,30,14
2011/12/30,28,15
2011/12/31,35,8
2012/1/1,30,15
2012/1/2,33,14
2012/1/3,28,5
2012/1/4,28,1
2012/1/5,30,8
2012/1/6,26,10
2012/1/7,26,10
2012/1/8,32,6
2012/1/9,33,8
2012/1/10,33,10
2012/1/11,32,6
2012/1/12,33,8
2012/1/13,35,8
2012/1/14,35,8
2012/1/15,32,10
2012/1/16,30,14
2012/1/17,30,10
2012/1/18,26,8
2012/1/19,26,14
2012/1/20,24,5
2012/1/21,23,1
2012/1/22,19,0
2012/1/23,23,3
2012/1/24,26,1
2012/1/25,28,5
2012/1/26,30,6
2012/1/27,30,6
2012/1/28,24,6
2012/1/29,26,5
2012/1/30,24,5
2012/1/31,21,3
2012/2/1,19,0
2012/2/2,24,5
2012/2/3,30,10
2012/2/4,33,8
2012/2/5,32,14
2012/2/6,21,3
2012/2/7,24,5
2012/2/8,30,6
2012/2/9,33,6
2012/2/10,32,6
2012/2/11,35,10
2012/2/12,35,15
2012/2/13,35,15
2012/2/14,37,12
2012/2/15,35,17
2012/2/16,32,12
2012/2/17,32,6
2012/2/18,33,8
2012/2/19,37,12
2012/2/20,42,12
2012/2/21,37,19
2012/2/22,44,19
2012/2/23,35,19
2012/2/24,35,17
2012/2/25,35,14
2012/2/26,39,15
2012/2/27,39,17
2012/2/28,39,23
2012/2/29,42,24
2012/3/1,33,23
2012/3/2,37,24
2012/3/3,33,24
2012/3/4,35,23
2012/3/5,35,26
2012/3/6,42,19
2012/3/7,42,21
2012/3/8,37,15
2012/3/9,39,17
2012/3/10,39,17
2012/3/11,37,10
2012/3/12,42,15
2012/3/13,51,17
2012/3/14,53,21
2012/3/15,46,32
2012/3/16,51,32
2012/3/17,48,26
2012/3/18,39,21
2012/3/19,39,21
2012/3/20,50,28
2012/3/21,50,35
2012/3/22,39,30
2012/3/23,48,28
2012/3/24,51,26
2012/3/25,53,28
2012/3/26,53,28
2012/3/27,68,35
2012/3/28,62,42
2012/3/29,60,35
2012/3/30,50,26
2012/3/31,57,24
2012/4/1,50,35
2012/4/2,50,35
2012/4/3,60,33
2012/4/4,62,39
2012/4/5,59,33
2012/4/6,64,37
2012/4/7,69,44
2012/4/8,68,37
2012/4/9,69,51
2012/4/10,66,44
2012/4/11,64,41
2012/4/12,68,42
2012/4/13,73,44
2012/4/14,78,48
2012/4/15,77,41
2012/4/16,69,42
2012/4/17,75,50
2012/4/18,73,51
2012/4/19,68,50
2012/4/20,69,48
2012/4/21,62,48
2012/4/22,66,50
2012/4/23,71,51
2012/4/24,59,44
2012/4/25,62,37
2012/4/26,71,50
2012/4/27,69,42
2012/4/28,66,42
2012/4/29,68,46
2012/4/30,71,53
2012/5/1,68,50
2012/5/2,80,55
2012/5/3,84,55
2012/5/4,86,55
2012/5/5,84,51
2012/5/6,84,55
2012/5/7,80,51
2012/5/8,82,53
2012/5/9,82,57
2012/5/10,82,60
2012/5/11,68,51
2012/5/12,71,46
2012/5/13,73,53
2012/5/14,71,48
2012/5/15,75,51
2012/5/16,77,53
2012/5/17,80,53
2012/5/18,86,59
2012/5/19,80,59
2012/5/20,77,57
2012/5/21,77,62
2012/5/22,77,57
2012/5/23,77,59
2012/5/24,78,57
2012/5/25,78,53
2012/5/26,87,57
2012/5/27,89,59
2012/5/28,89,64
2012/5/29,77,51
2012/5/30,77,51
2012/5/31,77,59
2012/6/1,73,57
2012/6/2,78,57
2012/6/3,75,55
2012/6/4,87,59
2012/6/5,87,62
2012/6/6,84,62
2012/6/7,84,62
2012/6/8,87,66
2012/6/9,84,59
2012/6/10,78,53
2012/6/11,86,57
2012/6/12,78,59
2012/6/13,75,55
2012/6/14,75,57
2012/6/15,78,57
2012/6/16,87,64
2012/6/17,95,66
2012/6/18,95,66
2012/6/19,86,68
2012/6/20,84,66
2012/6/21,84,68
2012/6/22,82,68
2012/6/23,82,66
2012/6/24,75,64
2012/6/25,78,66
2012/6/26,75,66
2012/6/27,71,64
2012/6/28,73,60
2012/6/29,78,62
2012/6/30,87,66
2012/7/1,91,66
2012/7/2,91,66
2012/7/3,91,68
2012/7/4,82,66
2012/7/5,82,68
2012/7/6,86,68
2012/7/7,80,68
2012/7/8,80,68
2012/7/9,82,68
2012/7/10,86,68
2012/7/11,89,68
2012/7/12,86,64
2012/7/13,84,68
2012/7/14,84,62
2012/7/15,89,64
2012/7/16,89,64
